TEAM,CONF,G,W,ADJOE,ADJDE,BARTHAG,EFG_O,EFG_D,TOR,TORD,ORB,DRB,FTR,FTRD,2P_O,2P_D,3P_O,3P_D,ADJ_T,WAB,POSTSEASON,SEED,YEAR
Gonzaga  ,WCC,32,28,120.3,89.9,0.9662,58.7,43.1,15.7,16.3,29.1,23.4,30.6,22.7,60.4,41.8,37.0,30.5,72.6,6.7,,,2022
Houston  ,Amer,38,32,116.5,88.5,0.9595,53.1,43.3,16.9,21.7,37.7,28.0,29.0,34.7,54.5,43.4,33.8,28.8,63.7,6.2,,,2022
Kansas  ,B12,40,34,119.8,91.3,0.958,53.8,45.8,17.3,18.1,32.9,28.6,32.3,27.7,53.6,46.4,36.1,29.8,69.1,10.4,,,2022
Texas Tech  ,B12,37,27,110.5,85.4,0.9509,52.6,45.8,19.8,23.2,33.2,25.8,35.1,31.9,54.9,44.5,32.1,31.5,66.3,6.6,,,2022
Baylor  ,B12,34,27,117.8,91.3,0.9491,52.8,47.8,17.9,22.9,36.3,28.8,29.0,27.7,53.6,49.2,34.3,30.2,67.6,8.9,,,2022
Duke  ,ACC,39,32,122.7,96.0,0.944,55.6,47.1,15.0,15.7,31.7,28.9,28.6,19.1,56.0,46.6,36.6,32.0,67.4,7.2,,,2022
Tennessee  ,SEC,35,27,111.3,87.1,0.9435,50.7,46.4,17.7,22.9,32.4,27.2,29.0,31.5,48.5,46.0,35.9,31.3,67.3,7.9,,,2022
Villanova  ,BE,38,30,117.2,93.0,0.9345,51.5,47.3,15.5,18.4,31.2,28.9,29.8,25.0,49.5,48.1,35.9,30.8,62.2,7.3,,,2022
Arizona  ,P12,37,33,118.0,93.7,0.9341,55.6,44.4,18.3,17.4,34.7,28.6,34.9,24.0,57.0,41.8,35.3,32.8,72.3,8.8,,,2022
UCLA  ,P12,35,27,115.8,92.2,0.932,50.6,47.6,13.2,19.4,31.3,25.3,29.5,28.3,49.5,47.3,35.4,32.1,65.4,5.0,,,2022
Kentucky  ,SEC,34,26,119.4,95.4,0.9294,53.1,46.9,16.7,17.5,37.7,24.9,28.0,25.4,53.5,47.3,34.7,30.8,67.8,6.9,,,2022
Purdue  ,B10,37,29,121.6,97.5,0.9266,56.5,49.1,17.5,14.0,35.2,23.8,38.2,21.6,55.8,48.6,38.4,33.2,66.0,7.0,,,2022
Iowa  ,B10,36,26,121.1,97.2,0.9261,53.3,49.7,13.0,19.2,32.3,30.0,30.0,26.3,52.5,49.9,36.3,32.9,69.8,4.5,,,2022
Auburn  ,SEC,34,28,111.7,90.0,0.9227,49.9,44.1,16.7,20.0,33.7,28.9,31.6,34.2,51.3,42.8,31.8,31.0,70.0,7.4,,,2022
Texas  ,B12,34,22,112.5,91.5,0.9151,50.1,47.0,17.8,23.0,31.6,29.8,32.0,39.0,50.5,46.6,33.0,31.8,63.5,3.4,,,2022
North Carolina  ,ACC,39,29,114.4,93.5,0.9112,51.5,48.6,16.4,13.6,31.9,21.6,30.3,21.4,50.1,47.5,35.8,33.7,70.1,4.3,,,2022
Memphis  ,Amer,33,22,112.4,92.6,0.9029,52.3,46.6,22.5,20.4,37.4,30.9,37.8,33.2,51.9,45.5,35.5,32.0,70.0,1.4,,,2022
Virginia Tech  ,ACC,36,23,115.6,95.2,0.9027,55.1,49.0,17.0,18.7,27.8,26.2,24.5,25.6,52.6,49.3,39.2,32.3,63.3,1.7,,,2022
Saint Mary's  ,WCC,34,26,109.8,90.5,0.9024,52.7,48.3,17.0,19.2,27.4,21.7,23.3,25.1,52.5,47.0,35.5,34.3,63.7,3.9,,,2022
Illinois  ,B10,33,23,111.9,93.0,0.8942,52.5,46.0,18.1,15.5,33.1,26.6,32.0,28.2,51.4,45.2,35.9,31.9,67.1,4.1,,,2022
Arkansas  ,SEC,37,28,108.7,90.7,0.8893,48.6,47.5,16.9,20.5,29.6,25.3,37.2,31.9,50.1,46.8,30.4,32.4,70.6,4.5,,,2022
LSU  ,SEC,34,22,106.3,89.7,0.8765,49.4,45.1,20.7,25.1,33.8,30.9,33.4,37.8,50.4,47.6,31.6,28.2,68.7,2.3,,,2022
San Francisco  ,WCC,34,24,110.2,93.0,0.8748,53.1,47.1,17.9,18.4,30.0,24.0,28.5,33.0,54.4,48.7,34.3,28.9,69.0,1.6,,,2022
Michigan  ,B10,34,19,113.9,96.2,0.874,52.1,49.7,17.3,14.7,31.0,24.0,29.4,25.6,52.7,50.4,33.9,32.4,66.4,0.15,,,2022
Connecticut  ,BE,33,23,113.2,95.9,0.8707,49.6,46.0,17.3,18.0,37.9,27.6,30.5,31.7,48.0,42.6,35.2,35.3,65.0,3.1,,,2022
TCU  ,B12,34,21,108.6,92.1,0.8697,48.7,47.4,21.4,18.6,37.7,26.1,31.4,26.9,50.3,48.0,30.2,30.9,65.9,2.9,,,2022
San Diego St.  ,MWC,32,23,102.3,86.9,0.8675,48.7,44.1,19.3,21.9,29.5,27.3,31.1,31.0,46.7,43.5,35.4,30.0,65.3,2.6,,,2022
Indiana  ,B10,35,21,107.7,91.6,0.8651,50.6,46.2,17.2,17.6,27.0,25.1,33.5,30.7,50.9,43.9,33.3,33.0,67.2,0.21,,,2022
Oklahoma,B12,35,19,110.6,94.1,0.8649,54.8,49.4,22.0,20.3,25.7,26.2,27.4,26.4,56.7,50.3,34.7,31.8,65.2,1.1,,,2022
Alabama  ,SEC,33,19,115.2,98.3,0.8611,51.3,49.8,19.8,17.9,35.3,30.5,32.9,34.8,55.9,49.3,30.9,33.8,71.8,2.0,,,2022
Ohio St.  ,B10,32,20,115.5,98.5,0.8611,54.3,47.6,17.1,15.5,29.3,28.7,33.4,29.1,54.0,45.8,36.5,33.8,65.1,1.3,,,2022
Texas A&M,SEC,40,27,109.2,93.3,0.8596,49.6,47.4,18.9,23.7,33.5,33.2,35.7,33.3,50.1,47.9,32.4,31.1,66.5,1.2,,,2022
Oklahoma St.,B12,30,15,102.9,88.0,0.8575,48.0,45.7,21.4,22.8,32.3,31.4,33.0,31.2,49.8,43.7,29.5,32.4,68.0,-0.8,,,2022
Providence  ,BE,33,27,111.4,95.5,0.8552,50.0,46.3,17.0,15.6,30.3,27.4,37.0,27.0,49.0,47.1,34.4,30.0,65.3,5.9,,,2022
Wake Forest,ACC,35,25,110.7,95.0,0.8543,55.6,47.3,19.2,17.6,26.7,26.2,33.6,29.4,58.5,46.6,34.5,32.3,70.4,1.4,,,2022
Notre Dame  ,ACC,35,24,112.8,96.7,0.8542,54.0,49.0,15.6,15.1,22.1,24.7,27.3,22.2,51.9,49.6,37.9,32.0,65.4,1.9,,,2022
Wisconsin  ,B10,33,25,108.7,93.4,0.851,47.7,49.0,13.0,17.0,25.9,24.4,32.4,27.2,48.7,49.0,30.7,32.5,66.4,6.4,,,2022
Miami FL  ,ACC,37,26,113.6,97.9,0.8467,53.4,52.5,14.0,20.4,22.4,30.3,28.9,24.8,54.8,53.0,33.9,34.5,67.7,2.6,,,2022
Loyola Chicago  ,MVC,33,25,106.9,92.3,0.844,55.6,46.9,18.5,20.1,25.1,24.0,31.5,28.9,54.9,47.3,37.6,30.9,64.6,1.8,,,2022
Boise St.  ,MWC,35,27,107.6,92.9,0.8434,50.7,48.3,18.4,20.2,30.6,22.4,35.2,25.9,50.6,48.0,34.0,32.6,64.5,3.5,,,2022
Michigan St.  ,B10,36,23,111.6,96.6,0.8404,52.0,48.1,18.8,15.3,30.7,27.1,29.9,28.3,49.6,48.5,37.8,31.6,67.6,2.9,,,2022
Washington St.,P12,37,22,107.6,93.1,0.8404,47.9,46.9,16.6,20.4,33.4,29.5,29.8,30.3,46.2,47.4,33.5,30.6,66.2,-4.0,,,2022
Iowa St.  ,B12,35,22,101.7,88.4,0.8345,49.1,47.9,20.4,24.6,28.4,28.3,27.1,36.7,50.1,50.8,31.5,28.9,66.3,2.8,,,2022
Dayton,A10,35,24,108.8,94.5,0.8341,53.9,46.9,19.1,17.1,30.3,23.6,30.5,23.7,53.8,45.8,36.1,32.4,63.0,-1.2,,,2022
Syracuse,ACC,33,16,116.1,101.4,0.8271,52.5,50.6,15.4,16.7,29.2,32.1,28.3,23.5,49.9,51.6,37.6,33.0,67.7,-3.8,,,2022
Davidson  ,A10,34,27,115.8,101.1,0.8261,55.6,49.5,14.8,16.7,23.6,22.4,32.5,28.0,54.2,48.9,38.5,33.6,64.6,2.1,,,2022
Murray St.  ,OVC,34,31,110.0,96.2,0.8241,52.6,48.1,17.1,20.4,35.3,25.7,32.4,26.0,53.2,50.5,34.5,29.7,66.0,3.5,,,2022
Xavier,BE,36,23,110.9,97.2,0.8204,50.9,48.3,16.7,18.1,29.3,26.1,35.3,25.9,52.2,48.3,32.2,32.2,68.6,-1.1,,,2022
Colorado St.  ,MWC,31,25,111.9,98.1,0.819,54.8,50.1,15.2,18.5,21.9,25.0,29.6,25.6,55.7,51.0,35.6,32.7,65.6,4.3,,,2022
St. John's,BE,32,17,110.2,96.7,0.8176,50.8,48.9,15.9,21.3,30.7,31.5,26.1,33.2,51.0,47.5,33.5,34.1,73.6,-3.3,,,2022
Creighton  ,BE,35,23,104.8,92.1,0.8149,50.6,44.9,20.4,15.5,28.4,28.5,26.7,20.8,53.3,43.6,30.8,31.7,67.0,1.7,,,2022
VCU,A10,32,22,100.9,88.9,0.8097,51.4,44.4,21.9,24.7,26.6,32.0,30.9,38.3,51.1,45.9,34.7,27.8,68.5,0.5,,,2022
North Texas,CUSA,32,25,104.6,92.3,0.8081,51.4,46.3,18.7,19.5,31.7,25.1,37.7,32.8,49.7,47.6,35.8,28.8,59.2,0.7,,,2022
Utah St.,MWC,34,18,109.2,96.5,0.806,54.2,49.7,18.3,18.3,26.0,22.9,28.9,29.0,56.2,48.8,34.1,34.0,66.7,-4.7,,,2022
Florida,SEC,34,20,109.8,97.0,0.8055,49.6,49.4,18.5,21.8,31.5,32.5,33.8,30.3,53.1,49.9,30.3,32.2,65.5,-0.9,,,2022
SMU,Amer,33,24,107.9,95.4,0.8041,51.5,44.5,17.7,17.0,27.7,30.3,35.6,25.4,50.4,44.5,35.3,29.8,68.3,1.8,,,2022
West Virginia,B12,33,16,108.6,96.1,0.8024,46.8,50.6,18.2,22.5,30.0,33.6,36.1,34.1,45.7,51.7,32.8,32.4,67.9,-1.1,,,2022
USC  ,P12,34,26,108.6,96.2,0.802,51.2,44.7,17.9,14.4,33.5,26.7,30.9,26.8,50.1,42.0,35.7,33.2,66.2,4.1,,,2022
Virginia,ACC,35,21,107.4,95.1,0.8011,49.7,48.8,16.1,18.3,27.8,28.8,28.1,23.3,50.3,47.9,32.3,33.6,59.3,-0.5,,,2022
UAB  ,CUSA,35,27,111.8,99.1,0.8001,52.8,48.4,16.4,21.1,33.3,27.5,29.3,31.3,50.8,47.8,38.0,32.9,68.9,-0.11,,,2022
Seton Hall  ,BE,32,21,105.4,93.4,0.7997,47.2,45.6,17.7,18.5,32.3,29.1,30.5,27.8,45.8,45.1,33.2,31.1,67.6,1.9,,,2022
Vanderbilt,SEC,36,19,106.7,94.7,0.7983,50.2,48.5,18.9,20.7,27.5,27.7,38.7,34.9,49.5,50.7,34.0,30.1,67.4,-3.1,,,2022
Vermont  ,AE,34,28,109.7,97.3,0.798,57.1,47.7,14.7,16.8,23.7,18.7,26.7,23.3,58.6,45.3,36.8,34.4,64.8,-0.8,,,2022
Mississippi St.,SEC,34,18,107.6,95.6,0.7971,49.6,49.6,19.5,19.4,34.1,25.7,38.1,28.3,51.7,50.9,29.5,31.9,65.5,-2.4,,,2022
Kansas St.,B12,31,14,109.6,97.4,0.7968,49.4,49.5,16.9,19.8,25.2,28.3,29.6,32.0,47.5,52.4,34.6,30.2,66.4,-2.1,,,2022
Fresno St.,MWC,36,23,105.1,93.5,0.7927,51.1,47.7,17.7,19.4,27.3,22.9,31.2,27.2,51.3,47.2,33.7,32.3,61.5,-4.0,,,2022
Saint Louis,A10,35,23,108.5,96.7,0.7889,50.6,48.2,18.7,18.0,33.8,26.5,32.7,32.4,49.1,48.0,36.2,32.3,68.0,-1.5,,,2022
Marquette  ,BE,32,19,107.7,96.6,0.7785,52.1,47.0,17.2,18.9,22.5,31.6,26.2,29.5,52.6,46.4,34.4,32.0,71.2,0.5,,,2022
Tulane,Amer,29,14,110.8,99.4,0.7771,51.2,49.6,15.0,20.3,20.1,32.8,33.4,28.5,49.0,48.3,36.5,34.1,67.9,-5.1,,,2022
Clemson,ACC,33,17,109.4,98.3,0.7753,52.4,49.7,16.4,16.9,25.8,24.1,29.8,29.1,51.2,49.4,36.3,33.4,66.4,-3.7,,,2022
Oregon,P12,35,20,109.6,98.7,0.7704,51.1,49.6,17.1,19.2,29.9,31.1,29.7,29.1,51.6,50.2,33.5,32.4,67.7,-2.4,,,2022
Furman,SC,34,22,113.6,102.4,0.7688,55.6,51.5,15.7,19.1,27.4,28.1,23.3,24.6,55.0,52.5,37.5,33.3,65.0,-4.5,,,2022
Wyoming  ,MWC,34,25,107.9,97.3,0.7661,52.3,47.1,17.1,15.7,25.5,24.6,37.1,24.8,54.4,48.4,33.0,30.1,65.8,1.9,,,2022
BYU,WCC,35,24,108.4,97.8,0.7647,51.8,47.7,18.4,15.0,30.6,22.5,27.2,31.1,51.9,48.9,34.6,30.5,67.8,0.33,,,2022
Rutgers  ,B10,32,18,106.6,96.3,0.7626,49.9,48.6,17.3,17.8,29.6,27.0,26.2,28.6,49.4,47.1,33.9,33.9,65.0,-0.7,,,2022
New Mexico St.  ,WAC,34,27,106.0,96.0,0.7572,51.9,45.2,20.8,16.8,32.6,25.7,34.6,28.3,53.2,45.6,33.4,29.8,66.1,0.7,,,2022
Chattanooga  ,SC,35,27,107.3,97.3,0.7559,52.2,49.4,17.0,18.1,32.7,26.2,26.8,27.8,53.0,52.1,33.9,30.3,64.6,0.2,,,2022
South Dakota St.  ,Sum,35,30,114.1,103.5,0.7541,59.2,51.4,15.3,15.8,23.7,24.3,34.6,21.3,55.9,50.3,43.7,35.2,69.6,1.5,,,2022
Santa Clara,WCC,33,21,110.6,100.4,0.7537,54.5,48.5,16.2,16.5,23.4,26.2,27.6,21.2,53.5,46.7,37.8,34.8,70.9,-1.7,,,2022
Missouri St.,MVC,34,23,112.1,101.8,0.7523,54.6,48.8,15.5,15.7,25.8,24.0,27.7,28.0,54.6,47.8,36.4,33.6,67.1,-2.5,,,2022
Towson,CAA,34,25,108.3,98.4,0.7498,51.6,47.9,17.9,19.5,35.7,26.5,33.9,31.9,50.4,48.4,35.7,31.5,64.7,-1.7,,,2022
Drake,MVC,36,25,108.4,98.9,0.7424,51.4,49.3,15.9,19.4,30.2,25.9,27.3,33.5,52.3,49.1,33.1,33.1,66.0,-2.0,,,2022
Arizona St.,P12,31,14,100.6,92.0,0.7377,47.1,46.3,17.3,19.6,24.9,30.3,21.2,32.3,47.7,46.1,30.7,31.1,67.3,-4.2,,,2022
Maryland,B10,32,15,108.7,99.4,0.7376,49.4,50.2,16.8,16.1,27.2,27.6,33.9,24.6,49.7,48.2,32.6,35.5,66.7,-3.8,,,2022
Colorado,P12,33,21,105.4,96.4,0.7357,50.4,48.1,19.7,17.5,29.9,24.4,34.7,27.0,48.1,47.2,36.6,33.1,67.3,-0.29,,,2022
UNLV,MWC,32,18,107.0,97.9,0.7357,49.1,48.4,17.0,17.2,27.1,25.9,30.7,30.8,48.6,48.8,33.2,31.9,66.4,-3.8,,,2022
Northwestern,B10,31,15,105.5,96.7,0.732,49.0,50.8,14.1,19.3,25.6,25.1,25.1,34.8,47.2,47.7,34.6,36.8,67.8,-3.9,,,2022
Wichita St.,Amer,28,15,103.9,95.5,0.7234,46.7,47.3,18.7,20.1,32.3,28.3,31.7,30.4,46.7,47.2,31.2,31.6,67.1,-3.6,,,2022
St. Bonaventure,A10,33,23,107.3,98.7,0.7233,50.5,50.3,15.5,19.1,26.9,27.5,25.9,22.2,50.9,49.6,33.1,34.2,65.5,-0.5,,,2022
Iona,MAAC,33,25,106.9,98.6,0.7178,50.7,46.6,17.9,19.0,31.8,29.7,37.3,33.8,51.2,47.2,33.2,30.2,69.4,-0.7,,,2022
Belmont,OVC,33,25,106.6,98.4,0.7163,55.7,49.4,16.8,20.9,24.4,27.8,25.9,23.5,60.7,48.7,32.8,33.7,69.0,-0.24,,,2022
Grand Canyon,WAC,31,23,104.1,96.1,0.714,49.9,43.5,19.2,18.6,34.8,28.4,31.0,33.0,48.3,45.1,34.8,26.9,65.6,-2.4,,,2022
Richmond  ,A10,37,24,106.9,99.1,0.7071,51.1,50.5,14.3,18.8,22.4,27.5,31.0,23.4,52.3,49.9,33.0,34.3,66.7,-1.6,,,2022
Northern Iowa,MVC,32,20,110.2,102.1,0.7058,53.0,53.9,16.2,18.0,20.8,21.8,33.2,22.7,53.3,54.4,35.1,35.6,67.3,-2.9,,,2022
Penn St.,B10,31,14,104.0,96.4,0.7043,50.5,48.3,18.6,13.8,28.6,24.1,21.8,26.2,49.9,45.6,34.2,35.2,61.9,-3.9,,,2022
Cincinnati,Amer,33,18,104.4,96.9,0.7038,46.9,45.0,15.2,17.9,30.1,29.6,29.6,34.5,46.7,44.2,31.4,31.2,67.7,-4.6,,,2022
UCF,Amer,30,18,106.3,98.7,0.7005,49.9,48.7,19.1,20.7,30.8,30.8,28.5,29.8,47.9,50.0,35.0,31.2,67.5,-1.7,,,2022
Middle Tennessee,CUSA,37,26,105.8,98.3,0.7002,51.4,47.2,18.9,20.3,30.0,29.2,34.2,36.5,52.7,47.6,33.1,31.0,67.1,-3.2,,,2022
Toledo,MAC,34,26,109.2,101.8,0.693,53.0,47.2,14.7,15.3,30.4,27.4,28.0,22.9,53.1,47.6,35.2,31.2,68.9,-1.6,,,2022
Mississippi,SEC,32,13,106.0,99.1,0.6855,49.6,51.4,18.0,19.4,26.7,26.6,28.7,28.0,50.0,53.1,32.6,32.3,65.4,-7.1,,,2022
Louisiana Tech,CUSA,34,24,104.4,97.7,0.6841,51.9,48.2,16.9,19.3,26.1,28.1,31.1,28.1,52.5,47.4,34.0,33.0,68.4,-2.6,,,2022
Bradley,MVC,31,17,102.8,96.1,0.6837,51.1,46.9,19.9,18.2,31.9,23.5,27.3,30.2,51.1,46.1,34.1,32.2,67.3,-6.4,,,2022
Florida St.,ACC,31,17,105.2,98.4,0.6833,49.0,52.2,18.1,21.0,31.7,31.1,30.3,30.4,48.7,50.0,33.1,36.9,67.8,-1.6,,,2022
Saint Peter's  ,MAAC,34,22,99.4,93.1,0.6785,47.5,44.2,20.1,20.5,30.9,29.0,37.4,41.2,45.6,44.5,34.6,29.2,65.6,-5.6,,,2022
DePaul,BE,31,15,106.4,99.8,0.6756,48.8,48.8,17.4,16.8,31.7,28.5,33.4,26.0,49.4,47.8,31.7,33.7,68.8,-4.7,,,2022
South Carolina,SEC,31,18,100.1,94.2,0.6676,47.3,47.3,21.4,21.5,33.6,32.1,29.2,41.6,47.4,46.9,31.3,32.0,70.6,-1.1,,,2022
Washington,P12,32,17,104.4,98.4,0.6628,46.4,49.9,16.7,22.1,29.3,35.6,34.7,30.1,46.2,49.8,31.2,33.5,69.6,-4.4,,,2022
Temple,Amer,29,17,101.6,96.2,0.6523,45.4,45.5,18.5,17.2,32.7,29.3,39.7,31.7,44.7,46.3,31.1,29.4,66.3,-2.5,,,2022
Princeton,Ivy,30,23,111.5,105.9,0.6451,56.7,51.3,14.5,15.5,24.8,23.5,21.3,21.7,55.9,51.6,38.4,33.6,66.9,-2.1,,,2022
Minnesota,B10,30,13,106.1,100.8,0.6432,50.7,51.2,14.0,15.8,17.7,27.5,23.6,23.3,48.0,51.6,36.8,33.7,65.1,-4.8,,,2022
Boston College,ACC,33,13,103.9,98.8,0.6422,47.8,51.5,17.9,18.7,29.9,25.7,29.6,31.5,48.5,49.8,30.9,36.4,65.0,-8.3,,,2022
Hofstra,CAA,32,21,109.1,103.8,0.6397,53.4,54.4,14.7,20.4,23.3,26.9,21.7,26.3,55.6,52.1,33.8,38.3,68.9,-3.4,,,2022
Nebraska,B10,32,10,106.5,101.4,0.6385,50.3,51.5,17.1,18.3,20.6,31.4,33.3,29.4,51.8,51.2,32.0,34.7,71.4,-9.2,,,2022
Abilene Christian,WAC,36,25,104.5,99.5,0.6369,48.4,52.0,17.6,27.9,27.8,30.9,39.3,49.1,48.4,52.0,32.2,34.6,70.2,-4.1,,,2022
Stanford,P12,32,16,103.5,98.7,0.6336,49.8,51.4,22.3,16.4,33.8,22.9,29.9,29.0,49.2,52.9,33.9,32.7,66.0,-3.2,,,2022
Utah Valley,WAC,32,20,101.5,96.8,0.6333,50.6,45.4,22.1,15.6,32.0,24.5,38.1,28.3,48.7,46.6,36.8,29.0,65.8,-5.3,,,2022
Butler,BE,33,14,102.3,97.6,0.6315,47.1,49.9,18.2,17.1,27.1,27.4,30.2,30.2,48.9,51.9,29.7,31.1,63.8,-5.3,,,2022
Louisville,ACC,32,13,103.0,98.3,0.6309,48.8,50.3,18.0,16.3,27.3,24.9,25.1,30.0,50.5,49.1,30.9,34.9,67.3,-6.8,,,2022
Morehead St.,OVC,34,23,102.8,98.2,0.6278,52.4,46.5,20.4,17.3,30.7,29.5,29.0,23.7,51.6,45.3,35.8,32.6,64.7,-3.9,,,2022
N.C. State,ACC,32,11,109.2,104.5,0.6249,47.9,53.4,14.5,18.3,30.3,31.0,29.0,29.4,45.9,53.0,34.0,36.1,67.1,0.0,,,2022
