TEAM,CONF,POSTSEASON,G,W,ADJOE,ADJDE,BARTHAG,EFG_O,EFG_D,TOR,TORD,ORB,DRB,FTR,FTRD,2P_O,2P_D,3P_O,3P_D,ADJ_T,WAB,SEED
Houston,B12,S16,31,28,121.5,87.8,0.9768,50.1,44.5,13.4,24.8,37.7,29.4,30.7,39.6,48.8,44,34.8,30.2,63.7,9.6,1
Connecticut,BE,Champions,31,28,127.1,95,0.966,56.7,45.1,15,16.6,37.4,27,33.2,33.4,58,43.9,36.6,31.7,64.7,9.3,1
Purdue,B10,2ND,31,28,128.1,96.8,0.9615,56.4,47.8,16.3,14,37.5,24.4,42,23.5,53.5,47.7,41.1,32,67.9,10.7,1
North Carolina,ACC,S16,31,25,118,94.3,0.9292,51.4,46.1,14.4,15.1,32.5,24.2,37.3,28.2,50.1,45.7,35.8,31.2,70.6,6.4,1
Arizona,P12,S16,31,24,123.8,96.3,0.9471,55.3,48.9,15.8,17.9,36.6,22.9,36.3,26.3,54.9,47.9,37.4,33.7,72.6,4.9,2
Tennessee,SEC,E8,31,24,117.9,92.6,0.9413,52,45.1,14.4,18.8,32.3,28.8,34.8,35.5,52,43.6,34.6,31.4,69.5,6.2,2
Iowa St.,B12,S16,31,24,113.1,89.5,0.9365,51.8,47.9,16.1,25.9,32.5,29,36,35.8,51.6,47.5,34.8,32.2,67.9,4.9,2
Marquette,BE,S16,31,23,120.2,96.7,0.9243,55.7,50.1,14.6,21.7,26.7,31.1,25.3,27.3,57.4,48.8,35.6,34.5,69.6,5.5,2
Creighton,BE,S16,31,23,122,98,0.9253,57.9,46.4,15.3,11.3,26.2,24.7,23.9,16.1,61,45.6,36.5,32.4,66.9,4.9,3
Illinois,B10,E8,31,23,125.3,101.8,0.9159,53.9,47.7,15.3,12.3,35.7,25.4,36.9,27,54.7,46,35,34.7,69.9,4.2,3
Kentucky,SEC,R64,31,23,124.1,103.2,0.8926,57.3,49.3,14,16.3,28.9,30.1,30.2,33,54.7,49.8,41.2,32.3,72.5,3.4,3
Baylor,B12,R32,30,22,124.2,102,0.9058,56.3,51.4,17.5,17.3,34.9,27.8,40.9,31.7,53.7,52.2,40.4,33.4,65.9,4.7,3
Auburn,SEC,R64,31,24,121.5,94.6,0.9467,54,44,14.9,18.4,33.6,29.9,38.6,40.7,54.8,43.1,35.1,30.6,70,3.9,4
Duke,ACC,E8,31,24,122.8,98.5,0.9261,55.5,48.9,14.4,17.1,31.8,25.9,34.2,27.4,54.6,49.2,38.1,32.3,66.9,4,4
Kansas,B12,R32,30,22,116.1,94.4,0.9149,54,47.7,16.4,16.9,25.5,26,33.4,29.2,55.3,45.6,34.1,33.8,68.9,4.8,4
Alabama,SEC,F4,31,21,126.3,103.1,0.9117,56.5,49.7,16.2,15.9,35.3,30,35.3,39.1,57.5,50.9,36.9,31.8,72.6,3.8,4
Gonzaga,WCC,S16,29,24,122,99.4,0.9127,56.9,46.8,14.3,16.5,33.9,26.8,31.4,25.6,58.8,44.6,35.2,33.7,69.4,2.5,5
Saint Mary's,WCC,R64,30,24,116.6,95.2,0.9108,52.8,44.7,15.8,17,38.9,22.7,27.8,32.7,52.7,43.2,35.3,32.3,62.4,0.6,5
San Diego St.,MWC,S16,29,22,112.5,95,0.8739,50.4,47.5,16.2,18.5,31.8,27.8,37.2,31.8,52.2,48.8,31.7,30.5,66.6,2.1,5
Wisconsin,B10,R64,31,19,119.4,101.2,0.8697,52.1,52.5,14.8,17,30.6,23.9,34.8,32.2,52.8,50.6,33.9,37.3,65.1,1.8,5
South Carolina,SEC,R64,31,25,115.9,100.1,0.8436,51.3,47.4,15.6,15,33.1,28.2,31.1,31.4,51.5,46.2,33.9,33.4,63.1,4.7,6
BYU,B12,R64,31,22,121.7,100.3,0.9024,55.3,47.9,15.3,16.1,33.5,24.4,24.7,31.9,58.3,48.5,35,31,69.1,2.7,6
Texas Tech,B12,R64,31,22,118.5,100.6,0.8685,53,49,16.1,17.3,30.2,30.6,33.7,27,52,49.3,36.3,32.3,66.4,2.9,6
Clemson,ACC,E8,31,21,118.9,100.6,0.8725,54.3,48.6,15,13.6,28,24.8,30.6,31.3,54.7,47,35.8,34,66.5,1.7,6
Dayton,A10,R32,30,24,119.1,101.9,0.8568,57.2,47.9,16,15.6,27.3,28.8,36.8,21.8,54.2,48.2,40.7,31.7,64.1,3.3,7
Washington St.,P12,R32,31,23,114.3,99.2,0.8358,52.1,47.2,15.7,15.8,32.6,25.1,32.5,32.8,52.3,46.4,34.5,32.5,65.1,2,7
Florida,SEC,R64,31,21,120.8,100.9,0.8875,51.7,48.6,16.2,14.7,38.6,29.4,36.6,33.5,52.1,48.8,33.9,32.1,71.3,1.7,7
Texas,B12,R32,31,20,120,99.6,0.895,53.9,48.9,16.8,18.7,31,30.2,30.1,34.3,53.5,47.3,36.5,34.7,67.2,1.7,7
Utah St.,MWC,R32,29,26,115.2,101,0.8185,54.6,49.4,16,16.6,28.5,25.1,38.7,30.1,57.5,53.2,32.5,28.5,68.7,3.8,8
Florida Atlantic,Amer,R64,31,24,118.8,104.6,0.8131,55.1,49.7,15.7,16.7,34.2,29.7,33.5,27.1,55.5,49.8,36.2,33,67.8,1.9,8
Nebraska,B10,R64,31,22,115.6,97.3,0.8792,52.9,46.2,16.1,16.6,28,30,32.2,27.6,52.5,45.1,35.7,31.8,68.5,2.2,8
Mississippi St.,SEC,R64,31,19,113.7,98,0.8469,51.8,47.9,18.6,17.7,35.8,27.6,37,32.2,53.4,50.5,33,29.4,67.5,0.09,8
Northwestern,B10,R32,31,21,118.8,101.2,0.8641,53.4,51.5,13.3,18.8,26,28.3,29.8,39.6,50,50.4,39.6,35.6,63.8,1.8,9
TCU,B12,R64,31,20,116.9,99.9,0.8589,52.8,50.3,17.6,20.7,35,28.8,35.3,35.5,52.1,51,36.4,32.5,70.1,0.9,9
Michigan St.,B10,R32,31,18,113.9,94.9,0.8898,51.5,47.7,14.5,18.7,29.6,28.8,30.1,31.8,50.5,46.9,35.9,32.6,65.5,-0.09,9
Texas A&M,SEC,R32,31,18,114.4,100.1,0.8218,45.1,49.5,14.5,16.9,42,28.2,37.1,29.9,47.2,49.2,27.8,33.3,65.2,-0.27,9
Drake,MVC,R64,33,28,116.2,101.5,0.825,54.9,51,13.9,17.4,24.2,22.1,32.6,31,55.1,51.9,36.5,33,67.9,1.9,10
Nevada,MWC,R64,31,26,115.8,98.9,0.86,53.3,48,14.8,17.5,27.3,27,45.3,33.6,52.5,48.8,36.6,31.2,66.8,3.3,10
Colorado,P12,R32,31,22,118.8,100.6,0.8704,55.9,49.8,18.3,15.4,32.9,23.5,35.6,28.3,54.2,50,40,32.9,68.2,1.2,10
Colorado St.,MWC,R64,29,22,114.9,99.2,0.8435,55.1,49.3,14.7,16.9,23.1,27.2,32.9,31.3,57.9,48.1,33.8,34.3,66.1,1.3,10
New Mexico,MWC,R64,30,22,116.4,98.9,0.8662,51.4,49.1,14.1,19.6,33.1,26.4,33.7,34.7,51.7,50,33.8,31.7,73.4,0.3,11
Oregon,P12,R32,31,20,114,101.9,0.7845,52.2,51.9,15.2,17.8,28.6,27.2,32.2,31.2,52.4,51.6,34.7,35,67.5,-0.34,11
Duquesne,A10,R32,30,20,106.9,98.9,0.7107,49.9,48.4,17.6,19.6,29.7,30.9,34,34.8,50,48.4,33.2,32.3,66.6,-2.8,11
North Carolina St.,ACC,F4,31,17,113.4,103.2,0.7469,50.3,50.6,13.9,17.9,28.8,29.4,30.7,33.9,49.5,49.4,34.6,35.2,68,-2.9,11
James Madison,SB,R32,32,30,112.4,101.4,0.7664,53.9,46.8,14.8,19.9,32.3,27.2,34.4,34.6,53.9,49,35.9,28.6,70.1,1.5,12
McNeese St.,Slnd,R64,27,28,110.9,101.4,0.7375,54.4,47.5,14.5,23,32.1,30,39.3,33.3,52.2,45.8,39.2,32.9,65.8,0.8,12
Grand Canyon,WAC,R32,30,27,112.4,101.3,0.7674,52.3,45.5,17.9,19.4,34.5,29.5,43.5,34.5,52.6,43.9,34.5,32.5,67.9,1.1,12
UAB,Amer,R64,30,20,112.5,107.8,0.6187,49.8,51.5,17.3,16.2,35.4,30.8,40.5,31.7,50.2,50.5,32.6,35.4,68,-3,12
Samford,SC,R64,31,28,113.8,104.1,0.736,57.2,50.1,18.1,21.6,30.5,31.8,35.4,36.7,55.7,49.5,39.6,34.1,72.6,0.23,13
Vermont,AE,R64,30,26,106.5,100.3,0.6669,52.3,47.1,13.9,14.6,22.3,22.8,29.6,24.9,53.6,46.3,33.8,32.3,63.5,-1.1,13
College of Charleston,CAA,R64,31,25,115.5,107,0.7065,52.6,50.6,14.2,16.4,33.8,27,26.7,29.1,53.2,50.8,34.6,33.4,70.3,-1.7,13
Yale,Ivy,R32,27,20,112.1,102.5,0.7369,52.6,50.1,14.1,16.2,28.4,24.4,27.1,29.4,52.8,48.9,34.7,34.5,65,-2.6,13
Morehead St.,OVC,R64,30,26,108.3,104.5,0.6029,54.4,45.7,18.5,15.5,32,26.4,31.3,32.7,55.6,45.4,35.3,31.1,64.4,-3.1,14
Colgate,Pat,R64,32,24,103.5,103.5,0.502,53.2,47.4,16.3,16.3,24.7,24.6,27.5,24.8,52.7,48.7,36.1,30.4,66.5,-3.9,14
Akron,MAC,R64,29,21,107.9,104,0.6025,52.5,49.3,16.9,17,29.7,26.4,34.3,30.1,54.9,51.1,32.7,30.8,65.4,-4.7,14
Oakland,Horz,R32,32,21,109.6,106.1,0.5922,52.4,51,16.4,16.5,30.4,28.5,30.3,26.5,52.1,50.4,35.1,34.5,66.8,-4.2,14
Western Kentucky,CUSA,R64,27,19,105.9,104.2,0.5458,51.7,48.7,18.5,18.3,28.8,27,32.3,33.6,52,48.9,34,32.3,75.2,-6.6,15
Long Beach St.,BW,R64,30,18,105.3,109.5,0.3887,48.7,51.8,17.6,19.3,33.5,29.8,38.2,33.1,49.8,50.2,30.6,35.8,71.9,-8.4,15
Saint Peter's,MAAC,R64,28,16,98.3,102.1,0.3921,45.1,47.8,19.5,21.2,35,28.8,37.2,43.3,42.6,47.3,33.6,32.6,64.6,-8.9,15
North Dakota St.,Sum,R64,29,15,104.4,111.9,0.3114,53.3,53.7,16.8,13.2,24.3,24.7,30.3,28.5,51.4,52.8,37.7,36.8,65.8,-11.6,15
Stetson,ASun,R64,31,22,109.6,115.1,0.3642,53.4,52,15.8,13.5,27.5,31.2,31.7,25.9,52.5,52.2,36.5,34.5,66.1,-6.6,16
Longwood,BSth,R64,31,21,105.5,106.1,0.4835,49.4,51.3,18,19.6,36.7,25.5,39.5,36.1,48.6,50.9,34.2,34.6,67,-8.3,16
Grambling St.,SWAC,R64,28,17,98.5,108.6,0.2454,48,50.2,20.8,19.3,28.7,33.5,38.2,34.4,47.5,49.2,32.7,34.8,65.3,-8.1,16
Wagner,NEC,R64,28,15,96.7,106.9,0.2408,44.5,48.8,15.8,17.1,29.4,27.3,26.7,30.8,42.3,51.2,32.1,30.1,61.5,-11.6,16